duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:19:50.443046,"ARP,",Ethernet,6,len,4,10.0.0.55,46:85:bb:f8:18:51,28,1
23:19:50.606299,"ARP,",Ethernet,6,len,4,10.0.0.7,"10.0.0.1,",28,0
23:19:50.607023,"ARP,",Ethernet,6,len,4,10.0.0.7,3e:0b:9e:1b:37:72,28,1
23:19:50.765507,"ARP,",Ethernet,6,len,4,10.0.0.20,"10.0.0.1,",28,0
23:19:50.767714,"ARP,",Ethernet,6,len,4,10.0.0.20,3e:c3:a1:ab:99:4b,28,1
23:19:51.074425,"ARP,",Ethernet,6,len,4,10.0.0.41,"10.0.0.1,",28,0
23:19:51.076522,"ARP,",Ethernet,6,len,4,10.0.0.41,26:6d:8a:e8:42:5d,28,1
23:19:51.373456,"ARP,",Ethernet,6,len,4,10.0.0.44,"10.0.0.1,",28,0
23:19:51.375547,"ARP,",Ethernet,6,len,4,10.0.0.44,32:2e:1a:d4:fe:14,28,1
23:19:51.549950,"ARP,",Ethernet,6,len,4,10.0.0.9,"10.0.0.1,",28,0
23:19:51.551927,"ARP,",Ethernet,6,len,4,10.0.0.9,d2:14:b6:dd:d1:40,28,1
23:19:51.725459,"ARP,",Ethernet,6,len,4,10.0.0.18,"10.0.0.1,",28,0
23:19:51.727124,"ARP,",Ethernet,6,len,4,10.0.0.18,2e:c4:f9:ba:27:0f,28,1
23:19:52.037523,"ARP,",Ethernet,6,len,4,10.0.0.40,"10.0.0.1,",28,0
23:19:52.039220,"ARP,",Ethernet,6,len,4,10.0.0.40,6e:f0:6f:2f:44:fc,28,1
23:19:52.209504,"ARP,",Ethernet,6,len,4,10.0.0.54,"10.0.0.1,",28,0
23:19:52.211314,"ARP,",Ethernet,6,len,4,10.0.0.54,a2:44:a5:40:97:15,28,1
23:19:52.790102,"ARP,",Ethernet,6,len,4,10.0.0.43,"10.0.0.1,",28,0
23:19:52.792294,"ARP,",Ethernet,6,len,4,10.0.0.43,a2:af:f7:fa:e7:79,28,1
23:19:52.962219,"ARP,",Ethernet,6,len,4,10.0.0.24,"10.0.0.1,",28,0
23:19:52.964157,"ARP,",Ethernet,6,len,4,10.0.0.24,16:8b:b5:fe:f0:8f,28,1
23:19:53.138204,"ARP,",Ethernet,6,len,4,10.0.0.10,"10.0.0.1,",28,0
23:19:53.140126,"ARP,",Ethernet,6,len,4,10.0.0.10,9a:9b:2b:89:b9:eb,28,1
23:19:53.300984,"ARP,",Ethernet,6,len,4,10.0.0.39,"10.0.0.1,",28,0
23:19:53.302864,"ARP,",Ethernet,6,len,4,10.0.0.39,86:12:ab:80:77:f2,28,1
23:19:53.597360,"ARP,",Ethernet,6,len,4,10.0.0.63,"10.0.0.1,",28,0
23:19:53.597949,"ARP,",Ethernet,6,len,4,10.0.0.63,ae:e5:93:81:ca:fd,28,1
23:19:53.773350,"ARP,",Ethernet,6,len,4,10.0.0.53,"10.0.0.1,",28,0
23:19:53.775485,"ARP,",Ethernet,6,len,4,10.0.0.53,02:d4:65:f6:21:97,28,1
23:19:54.346121,"ARP,",Ethernet,6,len,4,10.0.0.12,"10.0.0.1,",28,0
23:19:54.348059,"ARP,",Ethernet,6,len,4,10.0.0.12,0a:03:57:86:5a:28,28,1
23:19:54.509745,"ARP,",Ethernet,6,len,4,10.0.0.35,"10.0.0.1,",28,0
23:19:54.511316,"ARP,",Ethernet,6,len,4,10.0.0.35,8a:a4:5e:ac:d6:2f,28,1
23:19:55.197668,"ARP,",Ethernet,6,len,4,10.0.0.61,"10.0.0.1,",28,0
23:19:55.198238,"ARP,",Ethernet,6,len,4,10.0.0.61,d6:ea:53:86:bf:80,28,1
23:19:55.369681,"ARP,",Ethernet,6,len,4,10.0.0.27,"10.0.0.1,",28,0
23:19:55.371568,"ARP,",Ethernet,6,len,4,10.0.0.27,2e:1c:7b:86:fd:9f,28,1
23:19:55.549552,"ARP,",Ethernet,6,len,4,10.0.0.57,"10.0.0.1,",28,0
23:19:55.550122,"ARP,",Ethernet,6,len,4,10.0.0.57,1a:38:6b:2d:5e:0e,28,1
23:19:55.853324,"ARP,",Ethernet,6,len,4,10.0.0.30,"10.0.0.1,",28,0
23:19:55.856521,"ARP,",Ethernet,6,len,4,10.0.0.30,6e:e2:af:c3:14:58,28,1
23:19:56.033133,"ARP,",Ethernet,6,len,4,10.0.0.62,"10.0.0.1,",28,0
23:19:56.033791,"ARP,",Ethernet,6,len,4,10.0.0.62,52:0a:09:99:28:15,28,1
23:19:56.877506,"ARP,",Ethernet,6,len,4,10.0.0.19,"10.0.0.1,",28,0
23:19:56.880043,"ARP,",Ethernet,6,len,4,10.0.0.19,3e:0d:bc:ab:09:4e,28,1
23:19:57.049782,"ARP,",Ethernet,6,len,4,10.0.0.21,"10.0.0.1,",28,0
23:19:57.051710,"ARP,",Ethernet,6,len,4,10.0.0.21,b6:9a:37:11:63:e5,28,1
23:19:57.357342,"ARP,",Ethernet,6,len,4,10.0.0.58,"10.0.0.1,",28,0
23:19:57.357957,"ARP,",Ethernet,6,len,4,10.0.0.58,f2:cb:0f:d8:6f:c7,28,1
23:19:57.534091,"ARP,",Ethernet,6,len,4,10.0.0.49,"10.0.0.1,",28,0
23:19:57.535947,"ARP,",Ethernet,6,len,4,10.0.0.49,8e:e1:d4:93:36:3d,28,1
23:19:59.708603,"ARP,",Ethernet,6,len,4,10.0.0.52,"10.0.0.1,",28,0
23:19:59.709919,"ARP,",Ethernet,6,len,4,10.0.0.52,f2:04:57:a2:b9:ff,28,1
23:20:00.933569,"ARP,",Ethernet,6,len,4,10.0.0.45,"10.0.0.1,",28,0
23:20:00.935342,"ARP,",Ethernet,6,len,4,10.0.0.45,8a:80:db:42:17:51,28,1
23:20:01.378069,"ARP,",Ethernet,6,len,4,10.0.0.47,"10.0.0.1,",28,0
23:20:01.380064,"ARP,",Ethernet,6,len,4,10.0.0.47,3e:6b:4a:1f:d1:05,28,1
23:20:01.546006,"ARP,",Ethernet,6,len,4,10.0.0.32,"10.0.0.1,",28,0
23:20:01.548103,"ARP,",Ethernet,6,len,4,10.0.0.32,8a:b6:1a:7e:d4:20,28,1
23:20:02.905276,"ARP,",Ethernet,6,len,4,10.0.0.59,"10.0.0.1,",28,0
23:20:02.905867,"ARP,",Ethernet,6,len,4,10.0.0.59,fe:a2:92:e7:3a:3d,28,1
23:20:03.473390,"ARP,",Ethernet,6,len,4,10.0.0.25,"10.0.0.1,",28,0
23:20:03.476843,"ARP,",Ethernet,6,len,4,10.0.0.25,9e:52:ae:69:7b:66,28,1
